n,c,parameter_path,P,Boulsane_N,method,wall_median_seconds,wall_Q1_seconds,wall_Q3_seconds,wall_IQR_seconds,CPU_median_seconds,reused_entry_count,matrix_storage_bytes,offset_path
0,40,fixed continuous c,60,61,Boulsane_right_control_eigensolve,5.769999552285299e-05,5.735000013373792e-05,6.239999856916256e-05,5.049998435424641e-06,0.0,,,right_control
0,40,fixed continuous c,76,77,project_full_rebuild,0.004148100000747945,0.0041422500034968834,0.004195549998257775,5.329999476089142e-05,0.0,0,46208,
0,40,fixed continuous c,76,77,project_block_extension,0.0004951000009896234,0.0004912000003969297,0.000497900000482332,6.70000008540228e-06,0.0,3600,46208,
0,40,fixed continuous c,76,77,project_eigensolve,9.259999933419749e-05,9.090000094147399e-05,9.504999979981221e-05,4.149998858338222e-06,0.0,,,
0,40,fixed continuous c,76,77,Boulsane_large_N_assembly,0.02315969999472145,0.022731550001481082,0.023360549999779323,0.0006289999982982408,0.03125,0,47432,large_N
0,40,fixed continuous c,76,77,Boulsane_large_N_eigensolve,9.17999932426028e-05,8.970000271801837e-05,0.00010015000225394033,1.0449999535921961e-05,0.0,,,large_N
0,40,fixed continuous c,76,77,Boulsane_half_mesh_assembly,0.022359100003086496,0.022303300003841287,0.022471949996543117,0.00016864999270183034,0.03125,0,47432,half_mesh
0,40,fixed continuous c,76,77,Boulsane_half_mesh_eigensolve,9.249999857274815e-05,8.945000081439503e-05,9.829999908106402e-05,8.84999826666899e-06,0.0,,,half_mesh
0,40,fixed continuous c,76,77,Boulsane_next_zero_assembly,0.022465800000645686,0.022356049998052185,0.022754599998734193,0.0003985500006820075,0.03125,0,47432,next_zero
0,40,fixed continuous c,76,77,Boulsane_next_zero_eigensolve,9.329999738838524e-05,8.719999823370017e-05,0.00010134999683941714,1.4149998605716974e-05,0.0,,,next_zero
0,40,fixed continuous c,76,77,Boulsane_left_control_assembly,0.022398299995984416,0.022335300000122515,0.022493199998280033,0.00015789999815751798,0.015625,0,47432,left_control
0,40,fixed continuous c,76,77,Boulsane_left_control_eigensolve,9.330000466434285e-05,9.054999827640131e-05,9.774999853107147e-05,7.200000254670158e-06,0.0,,,left_control
0,40,fixed continuous c,76,77,Boulsane_right_control_assembly,0.022258199998759665,0.022219299997232156,0.022283250000327826,6.395000309566967e-05,0.015625,0,47432,right_control
0,40,fixed continuous c,76,77,Boulsane_right_control_eigensolve,9.609999688109383e-05,9.425000098417513e-05,9.890000001178123e-05,4.6499990276061e-06,0.0,,,right_control
0,40,fixed continuous c,108,109,project_full_rebuild,0.006011500001477543,0.005953700001555262,0.00603055000101449,7.684999945922755e-05,0.0,0,93312,
0,40,fixed continuous c,108,109,project_block_extension,0.0011979000046267174,0.0011924499995075166,0.0012182999962533358,2.5849996745819226e-05,0.0,5776,93312,
0,40,fixed continuous c,108,109,project_eigensolve,0.0003229999929317273,0.00023695000345469452,0.00033325000185868703,9.62999984039925e-05,0.0,,,
0,40,fixed continuous c,108,109,Boulsane_large_N_assembly,0.04475830000592396,0.04470124999716063,0.04610319999846979,0.0014019500013091601,0.046875,0,95048,large_N
0,40,fixed continuous c,108,109,Boulsane_large_N_eigensolve,0.00024729999859118834,0.00024359999952139333,0.00025380000079167075,1.0200001270277426e-05,0.0,,,large_N
0,40,fixed continuous c,108,109,Boulsane_half_mesh_assembly,0.045216899998195004,0.04492655000285595,0.04562285000429256,0.0006963000014366116,0.046875,0,95048,half_mesh
0,40,fixed continuous c,108,109,Boulsane_half_mesh_eigensolve,0.00024670000129844993,0.0002366499975323677,0.00027464999948279,3.80000019504223e-05,0.0,,,half_mesh
0,40,fixed continuous c,108,109,Boulsane_next_zero_assembly,0.04483579999941867,0.04471689999991213,0.04511939999792958,0.00040249999801744707,0.046875,0,95048,next_zero
0,40,fixed continuous c,108,109,Boulsane_next_zero_eigensolve,0.0002403999969828874,0.00023019999935058877,0.0002547000003687572,2.4500001018168405e-05,0.0,,,next_zero
0,40,fixed continuous c,108,109,Boulsane_left_control_assembly,0.044732399997883476,0.04453369999828283,0.046023250000871485,0.0014895500025886577,0.046875,0,95048,left_control
0,40,fixed continuous c,108,109,Boulsane_left_control_eigensolve,0.00026369999977760017,0.0002437999974063132,0.00027830000180983916,3.4500004403525963e-05,0.0,,,left_control
