n,c,M_n_c,m_knee,parameter_path,P,matched_total_dimension,project_error,augmented_error,project_P_plus_1_error,Boulsane_error,causal_ratio_or_upper_bound,causal_ratio_is_floor_upper_bound,matched_ratio_or_upper_bound,matched_ratio_is_floor_upper_bound,reference_endpoint_absolute_value,augmented_endpoint_absolute_value,augmented_endpoint_absolute_error,project_Rayleigh_residual,augmented_Rayleigh_residual,Boulsane_Rayleigh_residual,augmented_matrix_audit_passed,Boulsane_matrix_audit_passed,case_boundary_explanation_supported
2,10,2,2,fixed continuous c,22,23,0.020631327254702014,1.6075664432957382e-07,0.01976620855798944,0.0016451042289321038,7.791871184290207e-06,False,8.132902365061634e-06,False,2.8677624579988428,2.876739792156969,0.008977334158126293,0.0739587399746898,0.00021383527716019676,0.03248198204409044,True,True,True
2,10,2,2,fixed continuous c,34,35,0.013535052548669657,1.9815883101070852e-08,0.013158414551377062,0.0007333764058142789,1.4640418298943752e-06,False,1.5059476218582177e-06,False,2.8677624579988428,2.8716496474334154,0.0038871894345726687,0.060659623459020116,7.507613718641559e-05,0.01019707839807121,True,True,True
2,10,2,2,fixed continuous c,50,51,0.009285570060795223,3.0347824253595945e-09,0.009106968975411966,0.0003524289763586763,3.2682779899241787e-07,False,3.33237373878537e-07,False,2.8677624579988428,2.869597928602379,0.0018354706035363932,0.050609950477471286,2.938057411454118e-05,0.0035865795833413617,True,True,True
2,10,2,2,fixed continuous c,66,67,0.007068249040218855,7.785690425698988e-10,0.006964333346152873,0.00020642922855113044,1.1015019959537134e-07,False,1.1179376458192994e-07,False,2.8677624579988428,2.8688276894895837,0.0010652314907408922,0.044320940371178556,1.4881587645126027e-05,0.00177325633201887,True,True,True
2,10,2,2,fixed continuous c,98,99,0.004784332156705984,1.1102324615208659e-10,0.004736512105852242,9.563230554737734e-05,2.3205589101181087e-08,False,2.343987382929113e-08,False,2.8677624579988428,2.8682512662319226,0.0004888082330798404,0.036602756457890365,5.620087487409747e-06,0.0007643250996463564,True,True,True
2,20,5,5,fixed continuous c,10,11,0.09865181391528643,0.0003196921594235125,0.08866830149486349,0.012409482210540002,0.003240611061627678,False,0.003605484192589751,False,3.398048649959331,3.614266938930304,0.21621828897097295,0.17625074372232302,0.011566601873117406,0.38756490176809294,True,True,True
2,20,5,5,fixed continuous c,13,14,0.07409033015060185,8.094903269073583e-05,0.06856123087717458,0.007648317910484204,0.0010925721686783206,False,0.0011806823135330465,False,3.398048649959331,3.5235915730557767,0.12554292309644577,0.15920965683276156,0.005822047402113113,0.34974393268555676,True,True,True
2,20,5,5,fixed continuous c,17,18,0.05618001296729069,2.0995425039527227e-05,0.05302352380190373,0.004665767034239043,0.0003737169845751237,False,0.00039596434816302077,False,3.398048649959331,3.471504096286383,0.07345544632705181,0.14252853975428442,0.002965273112258294,0.2981877745534835,True,True,True
2,20,5,5,fixed continuous c,25,26,0.03818601263195065,3.1312928473470336e-06,0.03672924482208206,0.002276540642337954,8.200104256832113e-05,False,8.525339582981197e-05,False,3.398048649959331,3.432471242255647,0.03442259229631617,0.12056508485437542,0.001145180235935538,0.2664859341301141,True,True,True
2,20,5,5,fixed continuous c,37,38,0.02591569667538829,4.576837014380608e-07,0.025242615645627242,0.00108514200720633,1.7660482261806817e-05,False,1.813138970474896e-05,False,3.398048649959331,3.4140252550170214,0.015976605057690385,0.10095866129110587,0.0004378205895440939,0.18996165345449192,True,True,True
2,20,5,5,fixed continuous c,53,54,0.018178201543510908,7.833645926380584e-08,0.01784580979069622,0.000544894844759114,4.309362456803087e-06,False,4.38962760348628e-06,False,3.398048649959331,3.4059403013974783,0.007891651438147296,0.08538855375903108,0.00018113222884681061,0.09644728139722478,True,True,True
2,20,5,5,fixed continuous c,69,70,0.014007478013575991,2.1362774993427536e-08,0.01380960510724133,0.00032698363654770635,1.5250978779136987e-06,False,1.5469504614744964e-06,False,3.398048649959331,3.4027430209918834,0.004694371032552436,0.07534164401614163,9.458950333951713e-05,0.051520961995659725,True,True,True
2,20,5,5,fixed continuous c,101,102,0.009606166063892418,3.252221381089271e-09,0.009512809650372489,0.00015546130439675343,3.3855560683191757e-07,False,3.418781096878066e-07,False,3.398048649959331,3.4002601794220797,0.002211529462748718,0.06272411559458117,3.6906823746765896e-05,0.01883038028165571,True,True,True
2,40,11,11,fixed continuous c,16,17,0.10944523054190358,0.0013374196534755578,0.10090254794530185,0.020853487003903215,0.012219990280558608,False,0.013254567706264049,False,3.4661517560239394,3.869385520962741,0.40323376493880136,0.2340609999669665,0.029844479434518564,0.45066440217140535,True,True,True
2,40,11,11,fixed continuous c,19,20,0.08786469223719806,0.00044575053742412774,0.08270821669789008,0.013419227804133627,0.005073147427874521,False,0.005389434752925812,False,3.4661517560239394,3.7304815974671826,0.2643298414432431,0.21688678447726978,0.017240858908698437,0.4157760242108086,True,True,True
2,40,11,11,fixed continuous c,23,24,0.07064399685353495,0.00014804064040907505,0.06743743570018979,0.008640013541829639,0.00209558698548732,False,0.002195229383679819,False,3.4661517560239394,3.638114016245658,0.17196226022171857,0.1994425225946187,0.009938065838291961,0.3768566737656171,True,True,True
2,40,11,11,fixed continuous c,31,32,0.051492000558233,2.9795531748644244e-05,0.049837717488537825,0.004568526879503598,0.0005786438946948289,False,0.0005978510503715769,False,3.4661517560239394,3.5575565370643414,0.09140478104040195,0.17477823277924825,0.004458893936378745,0.3199508130870708,True,True,True
2,40,11,11,fixed continuous c,43,44,0.03695378305437924,5.548668467358908e-06,0.03611291048735199,0.0023469787081318305,0.00015015156795161622,False,0.0001536477783839175,False,3.4661517560239394,3.513049947554771,0.046898191530831745,0.1508021092594663,0.0019242183988592912,0.2814635116359153,True,True,True
2,40,11,11,fixed continuous c,59,60,0.02696761533603864,1.1286080361383455e-06,0.026521900050182512,0.0012489657494068052,4.185049445696114e-05,False,4.255381529991773e-05,False,3.4661517560239394,3.4910151381676964,0.02486338214375694,0.13035575684799183,0.0008678268871490222,0.23951766677388558,True,True,True
